uf,cidade,bairro,latitude,longitude,data_ocorrencia,fonte_ocorrencia,presenca_agentes,acao_policial,civis_mortos_ocorrencia,civis_feridos_ocorrencia,agentes_mortos_ocorrencia,agentes_feridos_ocorrencia,chacina_ocorrencia,motivo_principal,color,mortos_total,feridos_total,mes
Rio de Janeiro,SÃO GONÇALO,LARANJAL,-22.812829,-42.992906,2024-12-29 13:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Rio de Janeiro,RIO DE JANEIRO,CASCADURA,-22.892324971301782,-43.33377861518315,2024-12-30 15:00:00,Imprensa,Não,Não,2.0,,,,Não,Disputa,#fe9600,,,12
Rio de Janeiro,SÃO JOÃO DE MERITI,VENDA VELHA,-22.795301199498475,-43.36105815026246,2024-12-31 20:00:00,Imprensa,Não,Não,2.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Rio de Janeiro,DUQUE DE CAXIAS,CENTENARIO,-22.77252271,-43.30980255,2024-12-31 10:30:00,Imprensa,Sim,Sim,1.0,,,,Não,Tentativa/Roubo de cargas,#fe9600,,,12
Pernambuco,RECIFE,AREIAS,-8.1000521,-34.9369247,2024-12-31 22:30:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,RECIFE,SITIO DOS PINTOS,-8.0185465,-34.9590977,2024-12-31 20:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,RECIFE,PRADO,-8.0572111,-34.9210484,2024-12-31 21:15:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,PAULISTA,JANGA,-7.923929209104262,-34.83861542640617,2024-12-31 00:00:00,Imprensa,Não,Não,,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,12
Pernambuco,CABO DE SANTO AGOSTINHO,MALAQUIAS,-8.2922218,-35.0379658,2024-12-31 04:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Bahia,SALVADOR,SAO CRISTOVAO,-12.918821721398036,-38.3509560021268,2024-12-31 14:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,12
Bahia,SALVADOR,LOBATO,-12.927960501076134,-38.48561078256439,2024-12-31 13:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,12
Pernambuco,IGARASSU,NI,-7.842699699999999,-34.9074381,2024-12-31 00:00:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,12
