uf,endereco,cidade,bairro,latitude,longitude,data_ocorrencia,hora_ocorrencia,presenca_agentes,acao_policial,unidades_policiais,motivo_principal,outros_recortes,tipo,situacao,idade,faixa_etaria,raca,genero,local,circunstancias_vitima,qualificacoes_vitima,status_servico,status_politico,posicao_politico,partido_político,posicao_agente,coorporacao_agente,status_agente,tipo_pessoa
Rio de Janeiro,"Laranjal, São Gonçalo - RJ, Brasil",SÃO GONÇALO,LARANJAL,-22.812829,-42.992906,2024-12-29,13:00:00,Não,Não,,Homicidio/Tentativa,Ataques armados sobre rodas,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Morro do Fubá (Complexo do Fubá) - Cascadura, Rio de Janeiro - RJ, 21311-130, Brasil",RIO DE JANEIRO,CASCADURA,-22.892324971301782,-43.33377861518315,2024-12-30,15:00:00,Não,Não,,Disputa,Bar,Pessoa,Morta,,Adulto,Não identificado,Não identificado,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Morro do Fubá (Complexo do Fubá) - Cascadura, Rio de Janeiro - RJ, 21311-130, Brasil",RIO DE JANEIRO,CASCADURA,-22.892324971301782,-43.33377861518315,2024-12-30,15:00:00,Não,Não,,Disputa,Bar,Pessoa,Morta,,Adulto,Não identificado,Não identificado,Bar,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro," Jardim Jose Bonifacio, São João de Meriti - RJ, 25565-330, Brasil",SÃO JOÃO DE MERITI,VENDA VELHA,-22.795301199498475,-43.36105815026246,2024-12-31,20:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro," Jardim Jose Bonifacio, São João de Meriti - RJ, 25565-330, Brasil",SÃO JOÃO DE MERITI,VENDA VELHA,-22.795301199498475,-43.36105815026246,2024-12-31,20:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Corte 8 (Complexo da Mangueirinha) - Vila Centenario, Duque de Caxias - RJ, 25030-010, Brasil",DUQUE DE CAXIAS,CENTENARIO,-22.77252271,-43.30980255,2024-12-31,10:30:00,Sim,Sim,PM,Tentativa/Roubo de cargas,,Pessoa,Morta,65.0,Idoso,Não identificado,Homem cis,Sem identificação,Bala perdida,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Jardim Uchôa - Rua Santa Joana D'arc - Areias, Recife - PE, Brasil",RECIFE,AREIAS,-8.1000521,-34.9369247,2024-12-31,22:30:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,25.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Sítio São Brás - R. do Sítio São Brás - Sítio dos Pintos, Recife - PE, 52171-170, Brasil",RECIFE,SITIO DOS PINTOS,-8.0185465,-34.9590977,2024-12-31,20:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,35.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,PPTE,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Rua Armando Soriano - Prado, Recife - PE, Brasil",RECIFE,PRADO,-8.0572111,-34.9210484,2024-12-31,21:15:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,21.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Av. João Pereira de Oliveira - Janga, Paulista, Brasil",PAULISTA,JANGA,-7.923929209104262,-34.83861542640617,2024-12-31,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,26.0,Adulto,Não identificado,Homem cis,Outros,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
